#{"manifestVersion":1,"columnDefinitions":[{"csvName":"Country","dbName":"country","csvIndex":0,"type":"text"},{"csvName":"Time","dbName":"time","csvIndex":1,"type":"text"},{"csvName":"category_1","dbName":"category_1","csvIndex":2,"type":"text"},{"csvName":"category_2","dbName":"category_2","csvIndex":3,"type":"text"},{"csvName":"category_3","dbName":"category_3","csvIndex":4,"type":"text"},{"csvName":"category_4","dbName":"category_4","csvIndex":5,"type":"text"},{"csvName":"value","dbName":"value","csvIndex":6,"type":"integer"}]}
"Country"	"Time"	"category_1"	"category_2"	"category_3"	"category_4"	"value"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1015"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"General Government"	""	"5970"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"Households"	""	"605"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"NPISHs"	""	"91"
"finnland"	"2003-01-01"	"Total"	"Rest of the world"	""	""	"48799"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"1639"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"2444"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"504"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3137"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1035"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"General Government"	""	"5744"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"Households"	""	"494"
"finnland"	"2003-04-01"	"Total"	"Domestic"	"NPISHs"	""	"91"
"finnland"	"2003-04-01"	"Total"	"Rest of the world"	""	""	"51456"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"929"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"2475"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"327"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3203"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"805"
